,race_id,class,race_name,stakes,going,track_type,time_1,time_2,time_3,split_1,split_2,split_3
0,RACE 1 (421),Class 5 - 2000M - (40-0),YUE YEE HANDICAP,"HK$ 750,000",GOOD,"TURF - ""A"" Course",(25.44),(49.62),(1:14.86),25.44,24.18,25.24
0,RACE 2 (422),Class 5 - 1400M - (40-0),RED PACKET HANDICAP,"HK$ 750,000",GOOD,"TURF - ""A"" Course",(13.88),(36.39),(1:00.87),13.88,22.51,24.48
0,RACE 3 (423),Class 4 - 1400M - (60-40),LUCKY STAR HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(13.53),(35.45),(58.83),13.53,21.92,23.38
0,RACE 4 (424),Class 4 - 1200M - (60-40),KUT CHEONG HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(24.06),(47.24),(1:10.19),24.06,23.18,22.95
0,RACE 5 (425),Class 4 - 1200M - (60-40),KUT CHEONG HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(24.29),(46.60),(1:09.73),24.29,22.31,23.13
0,RACE 6 (426),Class 4 - 1600M - (60-40),PROSPERITY HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(24.15),(46.99),(1:11.53),24.15,22.84,24.54
0,RACE 7 (427),Class 3 - 1400M - (85-60),GREAT PROFITS HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""A"" Course",(13.59),(34.70),(57.91),13.59,21.11,23.21
0,RACE 8 (428),Class 1 - 1400M - (110-85),THE CHINESE NEW YEAR CUP (HANDICAP),"HK$ 3,000,000",GOOD,"TURF - ""A"" Course",(13.53),(34.86),(58.21),13.53,21.33,23.35
0,RACE 9 (429),Class 2 - 1200M - (100-80),FAT CHOI HANDICAP,"HK$ 2,200,000",GOOD,"TURF - ""A"" Course",(23.60),(46.14),(1:08.56),23.60,22.54,22.42
0,RACE 10 (430),Class 3 - 1200M - (80-60),GOOD FORTUNE HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""A"" Course",(23.81),(46.18),(1:09.18),23.81,22.37,23.00
0,RACE 11 (431),Class 3 - 1600M - (80-60),KUNG HEI HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""A"" Course",(24.34),(47.32),(1:10.81),24.34,22.98,23.49
0,RACE 1 (412),Class 4 - 1000M - (60-40),GLADIOLUS HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""B"" Course",(12.67),(34.00),(57.10),12.67,21.33,23.10
0,RACE 2 (413),Class 5 - 1650M - (40-0),PRIMULA HANDICAP,"HK$ 750,000",GOOD,"TURF - ""B"" Course",(28.46),(52.39),(1:16.62),28.46,23.93,24.23
0,RACE 3 (414),Class 4 - 1800M - (60-40),PEONY HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""B"" Course",(13.93),(36.78),(1:01.49),13.93,22.85,24.71
0,RACE 4 (415),Class 3 - 1650M - (80-60),DAFFODIL HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""B"" Course",(28.00),(51.85),(1:15.61),28.00,23.85,23.76
0,RACE 5 (416),Class 4 - 1200M - (60-40),ORCHID HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""B"" Course",(23.90),(46.96),(1:10.51),23.90,23.06,23.55
0,RACE 6 (417),Class 4 - 1650M - (60-40),PEACH BLOSSOM HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""B"" Course",(28.42),(52.79),(1:17.77),28.42,24.37,24.98
0,RACE 7 (418),Class 4 - 1200M - (60-40),ORCHID HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""B"" Course",(23.82),(46.96),(1:10.61),23.82,23.14,23.65
0,RACE 8 (419),Class 3 - 1000M - (80-60),AZALEA HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""B"" Course",(12.95),(34.35),(57.05),12.95,21.40,22.70
0,RACE 9 (420),Class 3 - 1200M - (80-60),CINERARIA HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""B"" Course",(23.96),(46.71),(1:09.97),23.96,22.75,23.26
0,RACE 1 (402),Class 5 - 1200M - (40-0),KAM TIN HANDICAP,"HK$ 750,000",GOOD,"TURF - ""C"" Course",(24.18),(46.61),(1:10.09),24.18,22.43,23.48
0,RACE 2 (403),Class 4 - 1000M - (60-40),MAI PO HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""C"" Course",(13.07),(33.76),(56.92),13.07,20.69,23.16
0,RACE 3 (404),Class 2 - 1600M - (100-80),YUEN LONG HANDICAP,"HK$ 2,200,000",GOOD,"TURF - ""C"" Course",(25.05),(47.50),(1:10.82),25.05,22.45,23.32
0,RACE 4 (405),Class 4 - 1200M - (60-40),LAU FAU SHAN HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""C"" Course",(23.81),(45.96),(1:09.25),23.81,22.15,23.29
0,RACE 5 (406),Class 5 - 1650M - (40-0),HUNG SHUI KIU HANDICAP,"HK$ 750,000",GOOD,ALL WEATHER TRACK,(27.83),(50.29),(1:14.46),27.83,22.46,24.17
0,RACE 6 (407),Class 4 - 1650M - (60-40),LAM TEI HANDICAP,"HK$ 1,000,000",GOOD,ALL WEATHER TRACK,(28.22),(52.04),(1:15.83),28.22,23.82,23.79
0,RACE 7 (408),Class 3 - 1800M - (80-60),NAM SANG WAI HANDICAP,"HK$ 1,500,000",GOOD,ALL WEATHER TRACK,(13.42),(35.51),(58.19),13.42,22.09,22.68
0,RACE 8 (409),Class 3 - 1000M - (80-60),TUEN MUN HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""C"" Course",(13.21),(33.62),(55.57),13.21,20.41,21.95
0,RACE 9 (410),Class 3 - 1200M - (80-60),TIN SHUI WAI HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""C"" Course",(24.03),(46.06),(1:08.36),24.03,22.03,22.30
0,RACE 10 (411),Class 3 - 1400M - (80-60),TAI TONG HANDICAP,"HK$ 1,500,000",GOOD,"TURF - ""C"" Course",(13.71),(35.83),(58.83),13.71,22.12,23.00
0,RACE 1 (393),Class 4 - 1200M - (60-40),SHEK KIP MEI HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(23.67),(46.21),(1:10.19),23.67,22.54,23.98
0,RACE 2 (394),Class 4 - 1200M - (60-40),SHEK KIP MEI HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(23.51),(46.40),(1:10.51),23.51,22.89,24.11
0,RACE 3 (395),Class 4 - 2200M - (60-35),TAI WO PING HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(14.65),(38.46),(1:03.56),14.65,23.81,25.10
0,RACE 4 (396),Class 4 - 1200M - (60-40),SHEK KIP MEI HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(23.68),(46.94),(1:10.33),23.68,23.26,23.39
0,RACE 5 (397),Class 4 - 1650M - (60-40),STONECUTTERS ISLAND HANDICAP,"HK$ 1,000,000",GOOD,"TURF - ""A"" Course",(28.38),(52.14),(1:16.87),28.38,23.76,24.73
0,RACE 6 (398),Class 2 - 1000M - (105-80),CHEUNG SHA WAN HANDICAP,"HK$ 2,200,000",GOOD,"TURF - ""A"" Course",(12.67),(34.03),(56.55),12.67,21.36,22.52
